title,year,rating,description,genres
Chebi. New Year,2025,10.0,,
The Balcony,2024,10.0,"Three college roommates accidentally lock themselves out on their balcony, they patiently wait for their fourth roommate to let them back inside.",
Comptoir Tendance,2024,10.0,,
Oute gata oute zimia,2001,10.0,"Lalakis Makrikostas, CEO of a large company, uses his position to go to Kalamata for an inspection at the branch there, leaving his wife Popi alone at home and taking his mistress Lolota with him on the train. Suspicious that he is cheating on her, his wife decides to give him a taste of his own medicine. She accepts the charming Nikos Koutroumpas's proposal to spend a weekend together in Thymaria, as guests of stationmaster Stelios Molfetis...",
Methysmena koufeta,2005,10.0,"In 2003–2004, Vasilis Tsivilikas adapted and directed Robin Howdon's comedy ""Drunken Sweets"" at the Gloria Theater. The performance was re-aired on August 20, 2006, as well as on ANT1 Pacific.",
Latte for Jim,,10.0,"Two men with the same name wait at a local coffee shop. When a latte for Jim is called both men go to grab the drink first. Both desperate to start their mornings off right, the disagreement quickly turns violent.",
Verdensmænd - Bobos surprise,2024,10.0,,
Brasier,2022,10.0,,
*67,,10.0,"Set in the early 2000s, high school seniors and frenemies Mack, Gina, and Bri spend one of their last slumber party nights making prank phone calls. After dialing the wrong number, the girls face a night of mind games and terror.",
Uma Viagem de Graça,2024,10.0,,
Unavil Uravu,,10.0,A surprise visit by her mother-in-law and her friends prompts proud people-pleaser Karthika to inadvertently conform to old prejudices and stereotypes during a botched cooking attempt. Think Shiva Baby meets Gordon Ramsay.,
Angry Birds - Plantas Contra Zombies: Fuera de Control,2013,10.0,"Angry Birds - Plants vs. Zombies: Out of Control was a pirated DVD popular in some Latin American countries. It was known for being a supposed crossover movie between two of the most popular mobile games at the time (Angry Birds and Plants vs. Zombies), but it actually featured animations from both series.",
Thanks Einstein,2024,10.0,"A wanderer, captivated by the beauty of the world, carries a unique and terrifying curse: every illness he sees transfers to him. To escape this fate, he makes the ultimate sacrifice, relinquishing his eyesight—the very sense that connects him to what he loves most, at this point he happens to meet someone which shapes this short film.",
Abad Azal,2024,10.0,A man is trapped in a flat and tries to get out.,
Failing to Save Private Brody,2024,10.0,"A short film based on World War I that was posted on the YouTube channel, ""The Adam Show"" (@theadamshow123)",
Elves,2024,10.0,"Something is amiss at the elf factory. Quotas have increased and wages have decreased, yet Santa is nowhere to be seen. With Christmas morning being only just a few hours away, it is up to his most trusted Elves, Dáithí and Seán to find Santa and save Christmas.",
"My Trip to Mars, the Moon, and Venus",2024,10.0,An ignorant man encounters a higher power from outer space.,
The Elevator Down,,10.0,"Two strangers take the same elevator, unaware of each other's intent.",
Samyan-Man,2024,10.0,"Shin, an ordinary and unremarkable college student, must don the mask of justice as the new Samyan-Man, stepping into the role of the previous Samyan-Man who mysteriously disappeared a decade ago. However, the return of this new Samyan-Man brings an unseen threat to the community, putting its safety at risk once again.",
NYC Rivals,2024,10.0,,
Cramming Christmas,2024,10.0,"It's the night before the Christmas party, and Levi Anderson is expected to set it up... all by himself.",
Artem Tomilov,,10.0,"The film ""Artyom Tomilov"" tells the story of a modern-day Odysseus with an ironic and elegiac tone. Theater director Artyom Tomilov, who grew up in the marginalized outskirts of Omsk, returns to his hometown after 15 years to stage an autofictional play about himself. The events unfolding during the production become part of the play, alongside the myths, spirits, and memories of the hero's past and the people of Omsk.",
One Wish,2024,10.0,"Cooper struggled to connect with his peers during this last year of high school, but when a mysterious new kid drops out last minute, Cooper decides to take a chance and take his place.",
The Bathroom,2023,10.0,"In the bathroom, no one can hear you scream...",
Internal Bleeding,2024,10.0,"Miranda Beckett is an asexual 20-year-old teacher who begins a loving relationship with Mark, the young and sexy school janitor who dreams of being a stand-up comedian and prioritizes sexual pleasure over anything else. One night, she is brutally murdered.",
It's Kinda Annoying How Easily You Could Die,2024,10.0,"After finding himself trapped in a vestibule over Christmas break, a musician must use his wits to survive and find a way to escape.",
Christmas on Braathen Street,2024,10.0,"It's that time of year, and as Christmas approaches Braathen Street, the neighbors come together to celebrate the holiday. In their shared home, they find warmth and joy despite the challenges of their modest lives, proving that the true spirit of Christmas lies in togetherness.",
Torben Chris - GALning,2024,10.0,,
I Used to Believe In Father Christmas,2024,10.0,David begins to spiral after learning a terrible truth on Christmas Eve.,
Motorpsychos: Life in the Slow Lane,,10.0,SAVE THE BMX PARK: Redbullorganizerlocal.com/crowdfunding/money/gqbh1258sjs.jvc,
Class Bling,,10.0,A reclusive bank teller befriends (falls in love with) the man who robbed his bank earlier that day,
Sem Juízo Final,2024,10.0,,
Snowbird,,10.0,"A self-taught rocket scientist invites a big city journalist out into the desert to cover a launch that will prove, once and for all, that the Earth is flat.",
The MPTV Project,2024,10.0,LEGO minifigures develop sentience after discovering their existence is nothing more than a film student's class project.,
Rolling Road,2024,10.0,Two old friends meet again by chance. They are assaulted and must recover what is theirs. 1969.,
Search,2023,10.0,A young male has a testicle problem and starts projecting his biggest fears based on his research on the internet. His girlfriend and twin brother come to the rescue.,
The Monster in the Lake that Nobody is doing Anything About,2024,10.0,There is a Monster in the Lake that Nobody is doing Anything About,
Normandy - The Art of Getting Lost,2024,10.0,"Normandy is going to publish an album, but they lost the pendrive with all the song. Now they have 1 day to re-record it, before Marcos, their manager, left them on the streets.",
Behind the Scenes: The Worst Movie Never Made,,10.0,"A bunch of absolute morons attempt to make a movie and it goes about how you would expect, or something like that.",
CHELU,2024,10.0,"Portrait of Florin, a 45-year-old man living with residual schizophrenia. Despite the challenges posed by his condition, he celebrates his birthday with his friends met on the internet, though this is merely an exception to his everyday life.",
Oysters,2024,10.0,Nat and Apu get into a heated argument right before their guests arrive for dinner forcing them to question their relationship and the values they have held close to their hearts.,
And we're just passing by,2021,10.0,A day and night in the life of a monumental bridge,
The Moon King,2024,10.0,"“The Moon King” is the abstract surrealist adventure of Dermitt McDougal. Plagued by bad luck, Dermitt must deal with a pantheon of strange gods in order to return to his normal life as a construction worker.",
Mime Prophecy,2024,10.0,"A bard, desperate to be rid of a curse, finds a shady wizard who promises to help him.",
Easy Digging,,10.0,"A documentary crew follows Ed Brown, a middle-aged building inspector, as he returns to his childhood dream of digging a hole to China. When Ed’s plans go viral and a billionaire investor gets involved, the whole world tunes in. Ed must face why he’s digging this hole, the loss of a childhood friend, his strained relationship with his father, and what it means to attempt the impossible.",
No Sleep,,10.0,"Nyx has just graduated, and is looking to rest, relax, and just chill in general, yk? Chill vibes only with this short film.",
Breaking in Badly,2024,10.0,"A detective is called in at the dead of night to investigate a series of seemingly unrelated crimes. Slowly, he begins to realise something far more insidious may be afoot.",
The Adventure,2025,10.0,"Because of a meteor shower, 43-year-old Huang Yuqi (Jia Bing) and 18-year-old himself (Wang Hao) exchanged souls, and the man and the sophomore boy accidentally fell into a burst of dual-time laughter.",
our last year at sleepaway camp,2024,10.0,"The days in the lives of several young women and men on their last days of sleepaway camp in Brattleboro, Vermont",
